id,grid_id,score,data_source,borough,zip,latitude,longitude,lat_lon,address,status,cb_num,cncldist,category,assemblydist,coundist,gardenname,juris,geometry,openhrsf,openhrsm,openhrssa,openhrssu,openhrsth,openhrstu,openhrsw,statesenatedist,censustract,crossstreets
230955,2510,7.6,df_gardens,Manhattan,10027.0,40.807023,-73.945209,-3017.4838444028073,75 West 124th Street,Active,110.0,13.0,Garden,70.0,9.0,West 124th Street Community Garden,DPR,POINT (-73.945209 40.807023),,,,,,,,30.0,200.0,Malcolm X Boulevard & Mount Morris Park West.
230956,2569,14.32,df_gardens,Manhattan,10035.0,40.808505,-73.939916,-3017.3774317855796,8 East 129th Street,Active,111.0,13.0,Garden,70.0,9.0,Harlem Rose Garden,DPR,POINT (-73.939916 40.808505),Whenever the gate is open,Whenever the gate is open,11:00 a.m. -  4:00 p.m.,11:00 a.m. -  4:00 p.m.,Whenever the gate is open,Whenever the gate is open,Whenever the gate is open,30.0,206.0,Btwn 5th & Madison
230957,2687,10.54,df_gardens,Manhattan,10039.0,40.82269,-73.940084,-3018.43312770596,234 West 146th Street,Active,110.0,13.0,Garden,71.0,9.0,Robert L. Clinkscales Playground and Community Garden  (C.G. of West 146th St.),DPR,POINT (-73.940084 40.82269),8:00a - 10:00a,8:00a - 10:00a,8:00a - 1:00p,8:00a - 1:00p,8:00a - 10:00a,8:00a - 10:00a,8:00a - 10:00a,30.0,232.0,Adam Clayton Powell & Frederick Douglass Boulevards
230958,2510,7.6,df_gardens,Manhattan,10035.0,40.803085,-73.939773,-3016.9708425997055,103 East 122nd Street,Closed (Construction),111.0,13.0,Garden,68.0,9.0,Jackie Robinson Community Garden,DPR,POINT (-73.939773 40.803085),3:00 p.m. - 7:00 p.m.,3:00 p.m. - 7:00 p.m.,3:00 p.m. - 7:00 p.m.,,3:00 p.m. - 7:00 p.m.,3:00 p.m. - 7:00 p.m.,3:00 p.m. - 7:00 p.m.,30.0,196.0,At Park Avenue
230959,2451,9.85,df_gardens,Manhattan,10035.0,40.800188,-73.943817,-3016.921635037596,52 East 117th Street,Active,111.0,13.0,Garden,68.0,9.0,Peaceful Valley,DPR,POINT (-73.943817 40.800188),CLOSED,CLOSED,9:00 a.m. - 12:00 p.m.,9:00 a.m. - 12:00 p.m.,CLOSED,CLOSED,9:00 a.m. - 1:00 p.m.,30.0,184.0,At Madison Avenue
230960,2508,8.96,df_gardens,Manhattan,10025.0,40.803857,-73.963207,-3017.9841216893988,1039 Amsterdam Avenue,Active,109.0,13.0,Garden,69.0,7.0,The Julia Gabriel People's Garden,DPR,POINT (-73.963207 40.803857),9:00 a.m. - 5:00 p.m.,9:00 a.m. - 5:00 p.m.,9:00 a.m. - 5:00 p.m.,9:00 a.m. - 5:00 p.m.,9:00 a.m. - 5:00 p.m.,9:00 a.m. - 5:00 p.m.,9:00 a.m. - 5:00 p.m.,30.0,197.01,at 111th Street
230961,1857,19.11,df_gardens,Manhattan,10009.0,40.724094,-73.978343,-3012.700994296242,237 E. 7th Street,Active,103.0,10.0,Garden,74.0,2.0,Sam & Sadie Koenig Garden,DPR,POINT (-73.978343 40.724094),CLOSED,CLOSED,7:00 a.m. - 5:00 p.m.,7:00 a.m. -  5:00 p.m.,CLOSED,CLOSED,CLOSED,27.0,26.02,Avenues C & D
230962,1857,19.11,df_gardens,Manhattan,10009.0,40.722077,-73.984188,-3012.789800518476,193 East 2nd Street,Active,103.0,10.0,Garden,65.0,2.0,Hope Garden,DPR,POINT (-73.984188 40.722077),CLOSED,CLOSED,10:00 a.m. - 6:00 p.m.,10:00 a.m. - 6:00 p.m.,CLOSED,CLOSED,12:00 p.m. - 4:00 p.m.,27.0,30.02,Btwn Avenues A & B
230963,1798,8.17,df_gardens,Manhattan,10009.0,40.721133,-73.981792,-3012.622391610336,247 East 2nd Street,Active,103.0,10.0,Garden,65.0,2.0,Le Petit Versailles Garden,DPR,POINT (-73.981792 40.721133),2:00 p.m. - 7:00 p.m.,AS WEATHER PERMITS,2:00 p.m. - 7:00 p.m.,2:00 p.m. - 7:00 p.m.,2:00 p.m. - 7:00 p.m.,AS WEATHER PERMITS,AS WEATHER PERMITS,27.0,22.02,Avenues B & C
230964,2449,4.31,df_gardens,Manhattan,10025.0,40.798181,-73.963062,-3017.558390790222,76 W. 105th Street,Active,107.0,13.0,Garden,69.0,7.0,La Perla Community Garden,DPR/MLT,POINT (-73.963062 40.798181),2:00 p.m. - 5:00 p.m.,2:00 p.m. - 5:00 p.m.,12:00 p.m. - 4:00 p.m.,2:00 p.m. - 4:00 p.m.,2:00 p.m. - 5:00 p.m.,2:00 p.m. - 5:00 p.m.,2:00 p.m. - 5:00 p.m.,30.0,189.0,Columbus & Manhattan
230965,2568,8.33,df_gardens,Manhattan,10027.0,40.811247,-73.951058,-3018.034893949326,303 W 126th Street,Active,110.0,13.0,Garden,70.0,9.0,Clayton Williams Garden,DPR/MLT,POINT (-73.951058 40.811247),12:00 p.m. - 2:00 p.m. & 5:30 p.m. - 7:30 p.m.,9:00 a.m. - 11:00 a.m. &  2:00 p.m. - 3:00 p.m.,12:00 p.m. - 1:00 p.m.,3:00 p.m. - 4:00 p.m.,10:30 a.m. - 1:00 p.m.,12:00 p.m. - 1:00 p.m.,10:00 .a.m. - 2:00 p.m.,30.0,215.0,At Frederick Douglass Boulevard
